order_id,customer_id,sku,quantity,unit_price,order_date,channel,sales_amount,category,cost,active,name,country,segment,margin_amount,year_month
O001065,C0088,SKU0027,28,60.14,2024-05-11,wholesale,1683.92,Seasonal,16.9,1,Carlos Sánchez,Spain,Distributor,1210.72,2024-05
O000182,C0194,SKU0011,41,64.93,2024-10-30,ecommerce,2662.13,Luxury,23.93,1,Jorge Herrera,Spain,Distributor,1681.0000000000002,2024-10
O000626,C0153,SKU0020,25,30.89,2024-04-19,retail,772.25,Gift Box,17.29,1,Miguel Sánchez,Chile,Wholesale,340.00000000000006,2024-04
O000456,C0188,SKU0022,23,71.05,2025-01-25,wholesale,1634.1499999999999,Gift Box,19.43,1,Jorge Ortiz,Spain,Corporate,1187.26,2025-01
O000793,C0199,SKU0007,2,19.25,2024-08-22,retail,38.5,Seasonal,10.88,1,Andrés Ortiz,Spain,Wholesale,16.74,2024-08
O001462,C0074,SKU0025,21,24.4,2025-05-07,retail,512.4,Luxury,22.08,0,Sofía Sánchez,USA,Corporate,48.720000000000006,2025-05
O001077,C0085,SKU0037,24,49.46,2024-04-23,ecommerce,1187.04,Gift Box,20.7,0,Miguel Reyes,UK,Distributor,690.24,2024-04
O000945,C0050,SKU0001,42,25.01,2024-03-09,wholesale,1050.42,Gift Box,6.94,1,Andrés Silva,France,Retail,758.94,2024-03
O000810,C0160,SKU0012,35,79.81,2024-06-02,retail,2793.35,Standard,23.24,1,Paula Gómez,France,E-commerce,1979.9500000000003,2024-06
O000240,C0124,SKU0011,16,49.29,2026-01-08,wholesale,788.64,Luxury,23.93,1,Carlos Castro,Germany,Corporate,405.76,2026-01
O000386,C0196,SKU0011,24,9.44,2024-09-18,ecommerce,226.56,Luxury,23.93,1,Ana Vargas,Ecuador,Corporate,-347.76,2024-09
O000046,C0162,SKU0032,47,19.12,2024-05-11,export,898.6400000000001,Premium,6.89,1,Lucía Sánchez,UK,Corporate,574.8100000000001,2024-05
O001166,C0015,SKU0038,42,49.35,2024-09-02,ecommerce,2072.7000000000003,Gift Box,23.87,1,Luis Silva,France,E-commerce,1070.16,2024-09
O001343,C0137,SKU0011,24,67.51,2024-01-21,wholesale,1620.2400000000002,Luxury,23.93,1,Luis Rojas,UK,Corporate,1045.92,2024-01
O000989,C0060,SKU0049,12,53.79,2025-03-02,wholesale,645.48,Luxury,20.78,1,Paula Vargas,UK,Distributor,396.12,2025-03
O001183,C0086,SKU0022,23,18.24,2025-12-14,export,419.52,Gift Box,19.43,1,Jorge Castro,France,Corporate,-27.37000000000003,2025-12
O000453,C0181,SKU0021,49,71.48,2024-08-31,ecommerce,3502.52,Luxury,6.94,1,Andrés Ortiz,Chile,Retail,3162.4600000000005,2024-08
O001437,C0097,SKU0005,24,28.64,2024-03-20,ecommerce,687.36,Standard,11.72,1,Fernando Pérez,Canada,Corporate,406.08000000000004,2024-03
O000653,C0094,SKU0037,4,26.38,2024-05-18,ecommerce,105.52,Gift Box,20.7,0,Miguel Rojas,Spain,Wholesale,22.72,2024-05
O000432,C0190,SKU0010,13,22.93,2024-11-30,export,298.09,Seasonal,10.23,1,Carlos Mendoza,Spain,Retail,165.1,2024-11
O001237,C0151,SKU0056,9,37.52,2024-01-21,wholesale,337.68,Seasonal,17.82,1,Fernando Mendoza,Mexico,Distributor,177.3,2024-01
O000092,C0091,SKU0037,46,73.89,2024-05-06,export,3398.94,Gift Box,20.7,0,Lucía Mendoza,Germany,Corporate,2446.74,2024-05
O000458,C0038,SKU0028,32,38.63,2024-11-25,ecommerce,1236.16,Gift Box,6.0,1,Daniela Vargas,Mexico,Distributor,1044.16,2024-11
O001275,C0035,SKU0060,2,49.01,2024-01-19,retail,98.02,Gift Box,11.01,1,Valentina Pérez,Mexico,Distributor,76.0,2024-01
O001079,C0157,SKU0031,2,71.1,2025-03-25,ecommerce,142.2,Standard,23.65,0,Daniela Gómez,USA,,94.89999999999999,2025-03
O000200,C0097,SKU0035,22,14.64,2024-08-22,ecommerce,322.08000000000004,Luxury,16.47,1,Fernando Pérez,Canada,Corporate,-40.25999999999996,2024-08
O001389,C0125,SKU0045,22,50.97,2025-06-16,export,1121.34,Premium,16.02,0,Paula Vargas,Mexico,Corporate,768.9000000000001,2025-06
O000725,C0193,SKU0018,3,13.12,2024-09-18,export,39.36,Luxury,20.89,0,Camila Sánchez,UK,Wholesale,-23.310000000000002,2024-09
O001082,C0031,SKU0001,5,69.1,2025-11-22,retail,345.5,Gift Box,6.94,1,Camila Pérez,Germany,Distributor,310.79999999999995,2025-11
O001143,C0170,SKU0041,22,11.82,2024-02-18,ecommerce,260.04,Standard,6.0,0,Camila Ramírez,Ecuador,E-commerce,128.04000000000002,2024-02
O001234,C0053,SKU0022,33,65.91,2024-05-26,wholesale,2175.0299999999997,Gift Box,19.43,1,Miguel Ramírez,Spain,Retail,1533.84,2024-05
O000668,C0159,SKU0013,17,45.71,2025-03-29,wholesale,777.07,Luxury,14.1,1,Paula Reyes,Netherlands,Retail,537.37,2025-03
O000070,C0021,SKU0023,26,73.12,2026-01-28,ecommerce,1901.1200000000001,Standard,8.25,1,Paula Silva,Netherlands,Retail,1686.6200000000001,2026-01
O001320,C0170,SKU0049,26,44.56,2024-03-14,export,1158.56,Luxury,20.78,1,Camila Ramírez,Ecuador,E-commerce,618.28,2024-03
O000740,C0155,SKU0029,35,60.73,2025-08-19,retail,2125.5499999999997,Standard,19.24,0,Valentina Vargas,Germany,Corporate,1452.1499999999999,2025-08
O000904,C0136,SKU0029,32,20.98,2024-12-08,ecommerce,671.36,Standard,19.24,0,Andrés Vargas,Spain,Corporate,55.680000000000064,2024-12
O001454,C0102,SKU0034,48,50.85,2024-02-20,retail,2440.8,Gift Box,6.94,1,Miguel Silva,USA,Corporate,2107.6800000000003,2024-02
O001106,C0060,SKU0023,48,31.87,2024-09-05,retail,1529.76,Standard,8.25,1,Paula Vargas,UK,Distributor,1133.76,2024-09
O001481,C0158,SKU0003,45,70.84,2024-08-17,wholesale,3187.8,Seasonal,12.75,0,Diego Ramírez,Netherlands,Corporate,2614.05,2024-08
O000144,C0008,SKU0026,2,67.19,2025-05-09,ecommerce,134.38,Standard,6.77,1,Diego Gómez,UK,Corporate,120.84,2025-05
O001132,C0082,SKU0028,30,15.87,2025-02-17,ecommerce,476.09999999999997,Gift Box,6.0,1,Valentina Pérez,Germany,Distributor,296.09999999999997,2025-02
O001015,C0013,SKU0012,6,21.52,2025-10-31,export,129.12,Standard,23.24,1,Camila Herrera,France,E-commerce,-10.319999999999993,2025-10
O000766,C0150,SKU0009,10,76.85,2025-11-07,ecommerce,768.5,Seasonal,18.4,1,Diego Vargas,Ecuador,Retail,584.5,2025-11
O000388,C0044,SKU0050,16,59.66,2024-11-16,ecommerce,954.56,Standard,14.34,1,Sofía Ortiz,Spain,E-commerce,725.1199999999999,2024-11
O000679,C0026,SKU0019,13,58.89,2025-02-04,export,765.57,Luxury,15.19,1,Andrés Morales,UK,Wholesale,568.1,2025-02
O001493,C0109,SKU0006,31,31.96,2024-02-29,export,990.76,Gift Box,11.69,1,Miguel Morales,Germany,Wholesale,628.3700000000001,2024-02
O000986,C0150,SKU0024,7,67.65,2025-12-02,ecommerce,473.55000000000007,Seasonal,18.59,1,Diego Vargas,Ecuador,Retail,343.42,2025-12
O001028,C0029,SKU0057,5,14.1,2025-12-03,export,70.5,Luxury,12.79,1,María Pérez,Netherlands,Distributor,6.5500000000000025,2025-12
O000601,C0037,SKU0013,22,21.42,2025-09-19,ecommerce,471.24,Luxury,14.1,1,Andrés Ramírez,Mexico,E-commerce,161.04000000000005,2025-09
O000370,C0016,SKU0050,29,56.67,2025-01-13,ecommerce,1643.43,Standard,14.34,1,Diego Mendoza,France,Wholesale,1227.57,2025-01
O000667,C0040,SKU0020,33,22.93,2024-02-09,retail,756.6899999999999,Gift Box,17.29,1,Carlos Ortiz,UK,E-commerce,186.12,2024-02
O000482,C0046,SKU0057,30,13.5,2024-10-19,retail,405.0,Luxury,12.79,1,Fernando Reyes,Chile,Retail,21.300000000000026,2024-10
O000138,C0185,SKU0016,43,15.66,2024-07-04,ecommerce,673.38,Standard,21.82,1,María Vargas,Germany,Retail,-264.88,2024-07
O001200,C0031,SKU0040,8,60.35,2024-08-08,ecommerce,482.8,Standard,16.39,1,Camila Pérez,Germany,Distributor,351.68,2024-08
O000465,C0007,SKU0052,20,76.18,2024-08-11,retail,1523.6000000000001,Standard,23.56,1,Luis Pérez,Ecuador,E-commerce,1052.4,2024-08
O000072,C0174,SKU0032,13,78.08,2025-08-11,export,1015.04,Premium,6.89,1,Fernando Ortiz,France,Wholesale,925.47,2025-08
O001339,C0119,SKU0055,27,29.55,2025-07-23,export,797.85,Premium,5.84,1,Valentina Ramírez,Canada,Corporate,640.1700000000001,2025-07
O001112,C0111,SKU0020,24,58.39,2025-10-17,wholesale,1401.3600000000001,Gift Box,17.29,1,Paula Pérez,Canada,E-commerce,986.4000000000001,2025-10
O000477,C0195,SKU0036,41,18.32,2024-02-06,ecommerce,751.12,,6.94,1,Luis Silva,Chile,E-commerce,466.58,2024-02
O000488,C0197,SKU0009,3,14.29,2024-06-06,ecommerce,42.87,Seasonal,18.4,1,Paula Mendoza,Spain,Retail,-12.329999999999998,2024-06
O000069,C0197,SKU0001,28,44.28,2024-02-28,ecommerce,1239.8400000000001,Gift Box,6.94,1,Paula Mendoza,Spain,Retail,1045.52,2024-02
O000059,C0162,SKU0025,11,47.83,2025-06-24,wholesale,526.13,Luxury,22.08,0,Lucía Sánchez,UK,Corporate,283.25,2025-06
O001179,C0103,SKU0022,34,30.07,2025-12-28,wholesale,1022.38,Gift Box,19.43,1,Ana Sánchez,Mexico,Retail,361.76,2025-12
O000281,C0074,SKU0022,16,66.88,2024-02-11,export,1070.08,Gift Box,19.43,1,Sofía Sánchez,USA,Corporate,759.1999999999999,2024-02
O000404,C0040,SKU0036,14,30.4,2025-11-23,ecommerce,425.59999999999997,,6.94,1,Carlos Ortiz,UK,E-commerce,328.43999999999994,2025-11
O001164,C0148,SKU0033,30,71.51,2025-10-12,wholesale,2145.3,Standard,24.14,1,Valentina Sánchez,Canada,Corporate,1421.1000000000001,2025-10
O000862,C0026,SKU0006,49,72.26,2025-02-17,ecommerce,3540.7400000000002,Gift Box,11.69,1,Andrés Morales,UK,Wholesale,2967.9300000000003,2025-02
O001317,C0162,SKU0011,26,49.69,2025-03-10,retail,1291.94,Luxury,23.93,1,Lucía Sánchez,UK,Corporate,669.76,2025-03
O001095,C0177,SKU0019,23,73.72,2025-09-22,ecommerce,1695.56,Luxury,15.19,1,Jorge Torres,France,E-commerce,1346.19,2025-09
O001174,C0099,SKU0056,11,66.38,2024-09-11,retail,730.18,Seasonal,17.82,1,Miguel Ortiz,UK,Wholesale,534.16,2024-09
O000419,C0131,SKU0016,10,42.17,2024-05-15,retail,421.70000000000005,Standard,21.82,1,Andrés Silva,Netherlands,Distributor,203.5,2024-05
O000659,C0153,SKU0002,4,46.72,2024-04-10,wholesale,186.88,Seasonal,14.04,1,Miguel Sánchez,Chile,Wholesale,130.72,2024-04
O000863,C0025,SKU0010,24,57.79,2025-01-31,retail,1386.96,Seasonal,10.23,1,Luis Rojas,France,E-commerce,1141.44,2025-01
O000319,C0035,SKU0041,16,17.9,2025-04-10,ecommerce,286.4,Standard,6.0,0,Valentina Pérez,Mexico,Distributor,190.39999999999998,2025-04
O001102,C0138,SKU0015,25,23.22,2025-05-20,export,580.5,Standard,15.24,1,Ana Sánchez,Ecuador,Wholesale,199.49999999999997,2025-05
O000366,C0079,SKU0034,29,58.85,2024-10-25,wholesale,1706.65,Gift Box,6.94,1,Camila Herrera,Netherlands,Retail,1505.39,2024-10
O000580,C0111,SKU0021,13,38.22,2024-12-12,wholesale,496.86,Luxury,6.94,1,Paula Pérez,Canada,E-commerce,406.64,2024-12
O001169,C0134,SKU0049,5,73.98,2025-06-20,wholesale,369.90000000000003,Luxury,20.78,1,Camila Castro,Netherlands,Corporate,266.0,2025-06
O000782,C0139,SKU0001,3,23.24,2024-12-22,ecommerce,69.72,Gift Box,6.94,1,Andrés Herrera,Spain,Wholesale,48.89999999999999,2024-12
O001089,C0191,SKU0009,7,64.92,2025-06-14,ecommerce,454.44,Seasonal,18.4,1,Fernando Ortiz,UK,E-commerce,325.64000000000004,2025-06
O000569,C0158,SKU0043,42,58.66,2024-12-14,wholesale,2463.72,Standard,7.6,1,Diego Ramírez,Netherlands,Corporate,2144.52,2024-12
O001417,C0102,SKU0041,40,23.6,2025-07-22,ecommerce,944.0,Standard,6.0,0,Miguel Silva,USA,Corporate,704.0,2025-07
O000274,C0086,SKU0002,1,44.9,2025-09-03,ecommerce,44.9,Seasonal,14.04,1,Jorge Castro,France,Corporate,30.86,2025-09
O000334,C0142,SKU0003,28,27.49,2024-10-29,retail,769.7199999999999,Seasonal,12.75,0,Lucía Silva,Canada,Wholesale,412.71999999999997,2024-10
O000480,C0119,SKU0006,5,45.58,2024-03-26,export,227.89999999999998,Gift Box,11.69,1,Valentina Ramírez,Canada,Corporate,169.45,2024-03
O000403,C0030,SKU0021,33,52.65,2025-11-09,wholesale,1737.45,Luxury,6.94,1,Miguel Pérez,Germany,Retail,1508.43,2025-11
O000471,C0020,SKU0036,11,27.72,2026-01-20,retail,304.91999999999996,,6.94,1,Luis Vargas,Germany,Corporate,228.57999999999998,2026-01
O000926,C0198,SKU0033,21,8.16,2025-11-07,export,171.36,Standard,24.14,1,Diego Castro,USA,Retail,-335.58,2025-11
O000985,C0045,SKU0052,1,25.12,2025-09-23,ecommerce,25.12,Standard,23.56,1,María Flores,Ecuador,E-commerce,1.5600000000000023,2025-09
O000227,C0189,SKU0025,23,42.21,2024-12-17,ecommerce,970.83,Luxury,22.08,0,Daniela Silva,Canada,Corporate,462.99000000000007,2024-12
O000102,C0065,SKU0056,49,11.2,2026-01-24,export,548.8,Seasonal,17.82,1,Jorge Mendoza,Germany,Corporate,-324.38000000000005,2026-01
O001446,C0016,SKU0014,39,53.48,2025-02-01,export,2085.72,Premium,10.9,1,Diego Mendoza,France,Wholesale,1660.62,2025-02
O000961,C0065,SKU0023,15,55.55,2024-04-29,ecommerce,833.25,Standard,8.25,1,Jorge Mendoza,Germany,Corporate,709.5,2024-04
O000306,C0032,SKU0056,5,37.9,2025-10-15,ecommerce,189.5,Seasonal,17.82,1,Lucía Rojas,Canada,Corporate,100.39999999999999,2025-10
O000554,C0040,SKU0053,12,25.39,2025-04-17,export,304.68,Gift Box,6.51,1,Carlos Ortiz,UK,E-commerce,226.56000000000003,2025-04
O000780,C0129,SKU0010,5,66.1,2025-12-13,ecommerce,330.5,Seasonal,10.23,1,Lucía Ortiz,Netherlands,Retail,279.34999999999997,2025-12
O000565,C0168,SKU0003,21,76.65,2024-08-01,ecommerce,1609.65,Seasonal,12.75,0,Jorge Castro,USA,Wholesale,1341.9,2024-08
O001041,C0027,SKU0016,1,42.67,2025-04-12,ecommerce,42.67,Standard,21.82,1,Camila Ramírez,,Corporate,20.85,2025-04
O000860,C0152,SKU0046,35,55.23,2025-04-14,ecommerce,1933.05,Seasonal,13.79,1,Carlos Rojas,Canada,Retail,1450.3999999999999,2025-04
O001272,C0110,SKU0018,23,39.57,2025-05-12,wholesale,910.11,Luxury,20.89,0,Valentina Torres,France,Retail,429.64,2025-05
O000312,C0114,SKU0047,31,9.45,2025-05-31,ecommerce,292.95,Luxury,14.98,0,Jorge Herrera,Germany,Wholesale,-171.43000000000004,2025-05
O000337,C0026,SKU0028,43,52.95,2025-02-22,ecommerce,2276.85,Gift Box,6.0,1,Andrés Morales,UK,Wholesale,2018.8500000000001,2025-02
O001098,C0062,SKU0027,36,24.95,2025-05-23,ecommerce,898.1999999999999,Seasonal,16.9,1,Miguel Mendoza,France,Retail,289.8,2025-05
O000287,C0041,SKU0056,21,77.25,2025-12-10,retail,1622.25,Seasonal,17.82,1,Ana Reyes,USA,Retail,1248.03,2025-12
O000324,C0038,SKU0037,19,38.8,2025-10-11,ecommerce,737.1999999999999,Gift Box,20.7,0,Daniela Vargas,Mexico,Distributor,343.9,2025-10
O000066,C0065,SKU0024,18,52.83,2024-10-05,retail,950.9399999999999,Seasonal,18.59,1,Jorge Mendoza,Germany,Corporate,616.3199999999999,2024-10
O001116,C0123,SKU0033,47,15.66,2025-05-23,wholesale,736.02,Standard,24.14,1,Lucía Vargas,UK,E-commerce,-398.56,2025-05
O000917,C0032,SKU0038,16,19.77,2025-07-02,ecommerce,316.32,Gift Box,23.87,1,Lucía Rojas,Canada,Corporate,-65.60000000000002,2025-07
O000264,C0195,SKU0023,6,26.84,2026-01-15,retail,161.04,Standard,8.25,1,Luis Silva,Chile,E-commerce,111.53999999999999,2026-01
O001157,C0186,SKU0040,48,41.39,2026-01-03,retail,1986.72,Standard,16.39,1,Carlos Ramírez,Germany,Retail,1200.0,2026-01
O000473,C0103,SKU0007,30,14.51,2024-07-20,retail,435.3,Seasonal,10.88,1,Ana Sánchez,Mexico,Retail,108.89999999999998,2024-07
O001283,C0162,SKU0042,26,13.4,2024-03-31,retail,348.40000000000003,Gift Box,16.94,1,Lucía Sánchez,UK,Corporate,-92.04000000000002,2024-03
O000912,C0193,SKU0035,8,41.72,2025-10-28,wholesale,333.76,Luxury,16.47,1,Camila Sánchez,UK,Wholesale,202.0,2025-10
O000999,C0082,SKU0012,35,69.23,2025-04-30,retail,2423.05,Standard,23.24,1,Valentina Pérez,Germany,Distributor,1609.6500000000003,2025-04
O000845,C0123,SKU0021,4,9.8,2024-09-27,wholesale,39.2,Luxury,6.94,1,Lucía Vargas,UK,E-commerce,11.440000000000001,2024-09
O000979,C0072,SKU0057,7,28.06,2025-09-14,ecommerce,196.42,Luxury,12.79,1,Carlos Sánchez,USA,Retail,106.89,2025-09
O000158,C0094,SKU0027,34,29.41,2025-10-05,retail,999.94,Seasonal,16.9,1,Miguel Rojas,Spain,Wholesale,425.34000000000003,2025-10
O000721,C0200,SKU0029,35,16.17,2026-01-19,retail,565.95,Standard,19.24,0,Jorge Rojas,Chile,Wholesale,-107.44999999999989,2026-01
O000924,C0095,SKU0038,46,46.5,2025-12-17,retail,2139.0,Gift Box,23.87,1,Fernando Mendoza,Mexico,Distributor,1040.98,2025-12
O001299,C0197,SKU0060,12,9.21,2025-06-03,export,110.52000000000001,Gift Box,11.01,1,Paula Mendoza,Spain,Retail,-21.599999999999987,2025-06
O001428,C0111,SKU0054,46,36.06,2025-04-03,ecommerce,1658.7600000000002,Standard,6.46,1,Paula Pérez,Canada,E-commerce,1361.6000000000001,2025-04
O000581,C0166,SKU0043,19,20.59,2026-01-07,export,391.21,Standard,7.6,1,Andrés Torres,,Distributor,246.81,2026-01
O000543,C0045,SKU0027,26,36.28,2024-01-16,retail,943.28,Seasonal,16.9,1,María Flores,Ecuador,E-commerce,503.88000000000005,2024-01
O000788,C0081,SKU0060,42,8.53,2024-10-27,export,358.26,Gift Box,11.01,1,María Silva,Chile,Wholesale,-104.16000000000003,2024-10
O001277,C0116,SKU0036,7,59.08,2024-01-25,ecommerce,413.56,,6.94,1,María Mendoza,Netherlands,E-commerce,364.98,2024-01
O001175,C0112,SKU0023,4,32.5,2025-09-08,wholesale,130.0,Standard,8.25,1,María Ortiz,France,E-commerce,97.0,2025-09
O000047,C0185,SKU0017,25,29.86,2025-07-10,retail,746.5,Gift Box,17.7,1,María Vargas,Germany,Retail,304.0,2025-07
O000791,C0015,SKU0021,4,17.34,2024-09-10,export,69.36,Luxury,6.94,1,Luis Silva,France,E-commerce,41.599999999999994,2024-09
O000736,C0051,SKU0050,15,48.08,2025-07-19,export,721.1999999999999,Standard,14.34,1,Daniela Sánchez,France,Retail,506.0999999999999,2025-07
O000822,C0028,SKU0054,7,8.22,2025-01-01,wholesale,57.540000000000006,Standard,6.46,1,Ana Sánchez,Mexico,Distributor,12.320000000000004,2025-01
O000594,C0090,SKU0018,32,46.83,2025-04-02,wholesale,1498.56,Luxury,20.89,0,Diego Torres,Mexico,Distributor,830.0799999999999,2025-04
O000198,C0163,SKU0052,22,10.8,2024-12-07,retail,237.60000000000002,Standard,23.56,1,Diego Morales,Germany,Wholesale,-280.71999999999997,2024-12
O000249,C0090,SKU0016,32,21.61,2025-04-30,ecommerce,691.52,Standard,21.82,1,Diego Torres,Mexico,Distributor,-6.720000000000027,2025-04
O000174,C0033,SKU0002,37,23.21,2024-09-16,wholesale,858.77,Seasonal,14.04,1,Daniela Castro,Ecuador,Retail,339.2900000000001,2024-09
O000284,C0192,SKU0031,27,58.72,2024-02-07,wholesale,1585.44,Standard,23.65,0,Miguel Flores,UK,Retail,946.89,2024-02
O000641,C0167,SKU0001,9,44.74,2025-03-16,ecommerce,402.66,Gift Box,6.94,1,Andrés Mendoza,Spain,Distributor,340.20000000000005,2025-03
O000886,C0048,SKU0058,4,72.53,2024-06-06,retail,290.12,Luxury,20.26,1,Carlos Gómez,Mexico,Distributor,209.07999999999998,2024-06
O001298,C0152,SKU0046,35,43.36,2025-08-23,retail,1517.6,Seasonal,13.79,1,Carlos Rojas,Canada,Retail,1034.95,2025-08
O000561,C0146,SKU0036,6,40.3,2025-06-07,ecommerce,241.79999999999998,,6.94,1,Andrés Ortiz,Mexico,Wholesale,200.16,2025-06
O001168,C0104,SKU0042,20,57.4,2025-02-18,retail,1148.0,Gift Box,16.94,1,Carlos Ortiz,Ecuador,Corporate,809.1999999999998,2025-02
O001300,C0111,SKU0035,48,27.74,2025-09-26,export,1331.52,Luxury,16.47,1,Paula Pérez,Canada,E-commerce,540.96,2025-09
O000602,C0036,SKU0019,22,23.79,2024-02-29,wholesale,523.38,Luxury,15.19,1,Ana Castro,Ecuador,E-commerce,189.2,2024-02
O001363,C0149,SKU0019,17,76.37,2024-06-02,wholesale,1298.29,Luxury,15.19,1,Miguel Vargas,Mexico,Retail,1040.0600000000002,2024-06
O001478,C0076,SKU0018,35,53.12,2025-03-22,wholesale,1859.1999999999998,Luxury,20.89,0,Lucía Vargas,Germany,Distributor,1128.05,2025-03
O000814,C0161,SKU0034,10,47.85,2025-02-01,retail,478.5,Gift Box,6.94,1,Ana Herrera,Chile,Corporate,409.1,2025-02
O001335,C0026,SKU0019,39,37.81,2024-03-16,wholesale,1474.5900000000001,Luxury,15.19,1,Andrés Morales,UK,Wholesale,882.1800000000002,2024-03
O001205,C0081,SKU0044,23,42.45,2024-10-03,ecommerce,976.35,Standard,15.86,1,María Silva,Chile,Wholesale,611.57,2024-10
O000364,C0073,SKU0022,3,65.91,2025-03-29,wholesale,197.73,Gift Box,19.43,1,Jorge Castro,Germany,Retail,139.44,2025-03
O000689,C0199,SKU0050,23,17.17,2025-06-30,wholesale,394.91,Standard,14.34,1,Andrés Ortiz,Spain,Wholesale,65.09000000000005,2025-06
O000401,C0187,SKU0016,49,45.67,2025-03-03,wholesale,2237.83,Standard,21.82,1,Lucía Flores,USA,Retail,1168.65,2025-03
O000205,C0146,SKU0026,19,11.41,2024-11-12,ecommerce,216.79,Standard,6.77,1,Andrés Ortiz,Mexico,Wholesale,88.16000000000001,2024-11
O000836,C0033,SKU0041,49,68.48,2025-08-05,wholesale,3355.52,Standard,6.0,0,Daniela Castro,Ecuador,Retail,3061.52,2025-08
O000115,C0173,SKU0006,17,25.75,2024-12-31,ecommerce,437.75,Gift Box,11.69,1,Fernando Pérez,France,Distributor,239.02,2024-12
O000910,C0160,SKU0025,5,9.4,2025-10-10,ecommerce,47.0,Luxury,22.08,0,Paula Gómez,France,E-commerce,-63.39999999999999,2025-10
O001436,C0123,SKU0059,23,59.6,2025-07-31,wholesale,1370.8,Luxury,18.1,1,Lucía Vargas,UK,E-commerce,954.5,2025-07
